domain,pinn_annstartepo200_rampd700_pcri-L1_p5c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [FS10_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [FS10_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [MS10_FS0_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [MS10_Drop0.4_Epo1000],data_tcri-log1p_mse_task10.0 [Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0_p2-2c5.0 [Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0 [Drop0.4_Epo1000]
nolid_cube_1.656_wood_smooth,43.35,56.63,39.49,52.56,41.93,52.43,59.85,64.69,65.89,65.89
nolid_cube_1.856_green_rub,53.87,53.09,47.9,54.59,54.14,59.41,70.18,75.34,75.5,75.5
nolid_cube_1.856_wood_rough,51.16,53.64,51.61,55.19,54.01,63.2,70.01,76.06,78.08,78.08
nolid_cube_1.856_wood_smooth,51.18,56.32,52.46,61.18,53.74,67.32,71.98,77.01,77.58,77.58
wooden_cube_0.348_green_rub,2.08,2.71,6.09,2.9,5.89,0.17,3.42,0.04,0.08,0.08
wooden_cube_0.348_wood_rough,2.0,1.24,2.52,1.88,11.75,0.14,1.73,0.16,0.27,0.27
wooden_cube_0.348_wood_smooth,3.63,3.54,2.41,3.36,12.51,0.02,0.08,1.09,1.51,1.51
wooden_cube_0.570_green_rub,3.92,0.79,23.42,0.19,0.31,6.31,0.58,5.84,7.34,7.34
wooden_cube_0.570_wood_rough,2.44,2.8,7.79,4.04,0.42,2.67,0.1,8.04,7.0,7.0
wooden_cube_0.570_wood_smooth,9.28,1.1,7.74,0.23,0.02,6.81,0.4,11.24,13.3,13.3
